State,Sentiment_score
Kansas,10
Illinois,7.6
Georgia,7.3
South Carolina,7.3
Alabama,6.2
Nevada,6.1
Colorado,6
Hawaii,5.8
Arizona,5.5
Florida,5.3
New Jersey,5.3
Delaware,5.2
New York,5.2
Washington,5.2
Minnesota,5.1
California,4.9
Maryland,4.9
Michigan,4.8
Connecticut,4.6
Massachusetts,4.6
Pennsylvania,4.6
Virginia,4.4
North Carolina,3.6
Alaska,0.5
Arkansas,0.5
American Samoa,0.5
District of Columbia,0.5
Guam,0.5
Iowa,0.5
Idaho,0.5
Indiana,0.5
Kentucky,0.5
Louisiana,0.5
Maine,0.5
Missouri,0.5
Northern Mariana Islands,0.5
Mississippi,0.5
Montana,0.5
National,0.5
North Dakota,0.5
Nebraska,0.5
New Hampshire,0.5
New Mexico,0.5
Ohio,0.5
Oklahoma,0.5
Oregon,0.5
Puerto Rico,0.5
Rhode Island,0.5
South Dakota,0.5
Tennessee,0.5
Texas,0.5
Utah,0.5
Virgin Islands,0.5
Vermont,0.5
Wisconsin,0.5
West Virginia,0.5
Wyoming,0.5
